TYPE	text	text	text	integer	text	float	float	text	integer	text	text	integer	integer	integer	integer	float	float	float	float	float	float	text	text	text	text	text	text	text	text	text	text	integer	integer	integer
FEPARAMS	Protocol_Name	Protocol_date	Scan_ScannerName	Scan_NumChannels	Scan_Date	Scan_MicronsPerPixelX	Scan_MicronsPerPixelY	Scan_OriginalGUID	Scan_NumScanPass	Grid_Name	Grid_Date	Grid_NumSubGridRows	Grid_NumSubGridCols	Grid_NumRows	Grid_NumCols	Grid_RowSpacing	Grid_ColSpacing	Grid_OffsetX	Grid_OffsetY	Grid_NomSpotWidth	Grid_NomSpotHeight	FeatureExtractor_Barcode	FeatureExtractor_Sample	FeatureExtractor_ScanFileName	FeatureExtractor_ArrayName	FeatureExtractor_ScanFileGUID	FeatureExtractor_DesignFileName	FeatureExtractor_ExtractionTime	FeatureExtractor_UserName	FeatureExtractor_ComputerName	FeatureExtractor_Version	FeatureExtractor_IsXDRExtraction	FeatureExtractor_ColorMode	FeatureExtractor_QCReportType
DATA	miRNA-v1_10_Apr08 (Read Only)	09-Apr-2008 12:14	Agilent Technologies Scanner G2505C US80603148	1	07-03-2009 10:51:58	5	5	161f3b3e-f127-434a-8ea0-7bfd44ec8ac6	1	021828_D_20081121	21-Nov-2008 00:00	1	1	192	82	73.3235	63.5	0	36.6617	65	65	252182810120_1_1		D:\Images Files\miRNA\Ruby_Lin_3_7_09\\miRNA_252182810120_S01.tif	miRNA_252182810120_S01	24dbbdbd-bbd9-4a38-97d9-f178059cfcf4	021828_D_20081121.xml	03-Jul-2009 11:00:35	Administrator	DATASYSTEM01	10.5.1.1	0	0	2
*
TYPE	float	float	float	integer	integer	float	integer	float	float	float	integer	float	float	integer	integer	integer	integer	integer	float	float	float	integer	float	float	float	float	float	integer	integer	float	float	float	float	float	integer	float	float	float	float	integer	float	float	float	float	float	float	float	integer	float	integer	float	float	float	float	integer	float	float	float	float	float	float	float	float	float	integer	integer	integer	float	float	float	integer	float	float	float	integer	float
STATS	gDarkOffsetAverage	gDarkOffsetMedian	gDarkOffsetStdDev	gDarkOffsetNumPts	gSaturationValue	gAvgSig2BkgNegCtrl	gNumSatFeat	gLocalBGInlierNetAve	gLocalBGInlierAve	gLocalBGInlierSDev	gLocalBGInlierNum	gGlobalBGInlierAve	gGlobalBGInlierSDev	gGlobalBGInlierNum	gNumFeatureNonUnifOL	gNumPopnOL	gNumNonUnifBGOL	gNumPopnBGOL	gOffsetUsed	gGlobalFeatInlierAve	gGlobalFeatInlierSDev	gGlobalFeatInlierNum	AnyColorPrcntFeatNonUnifOL	AnyColorPrcntBGNonUnifOL	AnyColorPrcntFeatPopnOL	AnyColorPrcntBGPopnOL	TotalPrcntFeatOL	gNumNegBGSubFeat	gNonCtrlNumNegFeatBGSubSig	gSpatialDetrendRMSFit	gSpatialDetrendRMSFilteredMinusFit	gSpatialDetrendSurfaceArea	gSpatialDetrendVolume	gSpatialDetrendAveFit	gNonCtrlNumSatFeat	gNonCtrl99PrcntNetSig	gNonCtrl50PrcntNetSig	gNonCtrl1PrcntNetSig	gNonCtrlMedPrcntCVBGSubSig	gNegCtrlNumInliers	gNegCtrlAveNetSig	gNegCtrlSDevNetSig	gNegCtrlAveBGSubSig	gNegCtrlSDevBGSubSig	gAveNumPixOLLo	gAveNumPixOLHi	gPixCVofHighSignalFeat	gNumHighSignalFeat	AddErrorEstimateGreen	TotalNumFeatures	ROIHeight	ROIWidth	CentroidDiffX	CentroidDiffY	NumFoundFeat	MaxNonUnifEdges	MaxSpotNotFoundEdges	gNonCtrl50PrcntBGSubSig	gOutlierFlagger_Auto_FeatB_Term	gOutlierFlagger_Auto_FeatC_Term	gOutlierFlagger_Auto_BgndB_Term	gOutlierFlagger_Auto_BgndC_Term	OutlierFlagger_FeatChiSq	OutlierFlagger_BgndChiSq	GriddingStatus	NumGeneNonUnifOL	TotalNumberOfReplicatedGenes	gMultDetrendMeanSignalDifference	EffectiveFeatureSizeFraction	FeatureUniformityAnomalyFraction	UsedDefaultEffectiveFeatureSize	gPercentileIntensityProcessedSignal	gTotalSignal99pctile	gTotalSignal75pctile	gNonCtrlNumWellAboveBG	gNegCtrlSpread
DATA	4.46251	4.46251	1.62862	1048576	779451	2.54324	0	20.3049	24.7674	1.78355	13715	24.7674	1.78355	13715	5	428	0	0	4.46251	1219.54	11141.2	13283	0.0364564	0	3.12067	0	0.0384615	5485	5233	1.01009	3.74131	1.00481	2.7325	54.4883	0	15175.8	52.4105	41.3708	10.2804	423	51.1683	2.4446	1.14386	2.47058	0.628655	0.995844	0.064083	424	3.74131	13715	4.38761	7.61907	1.16126	1.08064	13475	0	0.1875	2.39469	1080	133.579	70.8214	40.923	1.94849	2.29299	0	0	1857	0	0.573096	1	0	40.3092	23909.3	56.8912	3993	7.49385
*
TYPE	integer	integer	integer	integer	integer	text	text	float	float	float	float	float	float	float	boolean	boolean	boolean	boolean	boolean	boolean	float	boolean	boolean	float	float	float	float	float	float	boolean
FEATURES	FeatureNum	Row	Col	SubTypeMask	ControlType	ProbeName	SystematicName	PositionX	PositionY	gProcessedSignal	gProcessedSigError	gMedianSignal	gBGMedianSignal	gBGPixSDev	gIsSaturated	gIsFeatNonUnifOL	gIsBGNonUnifOL	gIsFeatPopnOL	gIsBGPopnOL	IsManualFlag	gBGSubSignal	gIsPosAndSignif	gIsWellAboveBG	SpotExtentX	gBGMeanSignal	gTotalProbeSignal	gTotalProbeError	gTotalGeneSignal	gTotalGeneError	gIsGeneDetected
DATA	1	1	1	0	1	miRNABrightCorner30	miRNABrightCorner30	338.648	224.682	3.522096e+002	3.541912e+001	403	22	6.717854e+000	0	0	0	0	0	0	352.21	1	1	52.3208	22.1608	198.623	20.1593	198.623	20.1593	1
DATA	2	1	2	66	1	DarkCorner	DarkCorner	364.349	225.238	5.674812e+000	3.784107e+000	60	23	6.750723e+000	0	0	0	0	0	0	5.67481	1	0	44.7812	22.9229	4.75469	6.19842	4.75469	6.19842	0
DATA	3	1	3	0	0	A_54_P2696	mmu-miR-384-5p	389.785	224.646	2.513186e+000	3.749745e+000	58	23	7.014842e+000	0	0	0	1	0	0	2.51319	0	0	45.4864	23.5029	-1.37537	2.37164	-3.1603	3.35449	0
DATA	4	1	4	0	0	A_54_P2601	mmu-miR-32	414.667	224.5	5.354535e+000	3.779436e+000	60	23	6.881021e+000	0	0	0	0	0	0	5.35454	1	0	57.5363	23.6483	0.510558	1.18872	0.500918	2.38297	0
DATA	5	1	5	0	0	A_54_P2763	mmu-miR-466a-5p	440.2	224.6	2.922064e+000	3.752707e+000	58	23	7.042872e+000	0	0	0	1	0	0	2.92206	0	0	47.2035	23.0247	-0.658246	1.18581	-1.82528	2.37333	0
DATA	6	1	6	0	0	A_54_P2336	mmu-miR-155	465.944	224.676	7.720645e+000	3.820145e+000	64	22	7.163146e+000	0	0	0	0	0	0	7.72064	1	0	47.2035	22.9508	7.1978	2.4877	44.8503	5.1038	1
DATA	7	1	7	0	0	A_54_P2473	mmu-let-7f	490.949	224.641	2.205960e+003	2.206277e+002	2323	23	6.825254e+000	0	0	0	0	0	0	2205.96	1	1	49.5074	23.1985	2061.43	208.923	18009.5	1614.45	1
DATA	9	1	9	0	0	A_54_P00004425	mmu-miR-669k	542.13	224.507	2.131559e+000	3.747381e+000	57	23	7.107014e+000	0	0	0	1	0	0	2.13156	0	0	47.2035	23.3709	-2.86903	2.37163	-5.38185	3.35399	0
DATA	10	1	10	0	0	A_54_P3623	mmu-miR-488*	567.484	224.688	1.456724e+000	3.744148e+000	58.5	22	6.893370e+000	0	0	0	0	0	0	1.45672	0	0	44.7812	22.6274	-0.562402	1.18599	-4.73828	2.37196	0
DATA	11	1	11	0	0	A_54_P2931	mmu-miR-297a*	593.397	225.088	4.704217e+000	3.770772e+000	61	22	7.160488e+000	0	0	0	0	0	0	4.70422	1	0	46.5243	22.9629	-0.328921	1.18769	-0.941653	2.37375	0
DATA	12	1	12	0	0	A_54_P3605	mmu-miR-503*	618.101	225.246	-3.209424e+000	3.741314e+000	53	22	7.074760e+000	0	0	0	0	0	0	-3.20942	0	0	46.5243	22.9405	-1.30792	1.18591	-4.52622	2.3717	0
DATA	13	1	13	0	0	A_54_P00004584	mmu-miR-1897-5p	643.833	225.03	6.871387e+001	7.823898e+000	126	22	7.045056e+000	0	0	0	1	0	0	68.7139	1	1	46.1809	22.7295	48.6104	5.41181	91.5423	7.30775	1
DATA	14	1	14	0	0	A_54_P3617	mmu-miR-374*	668.852	225.393	7.812687e-001	3.742129e+000	53.5	22	7.094991e+000	0	0	0	0	0	0	0.781269	0	0	43.7019	22.8135	-0.547114	1.18587	-1.20904	2.37304	0
DATA	15	1	15	0	0	A_54_P00004445	mmu-miR-669h-5p	694.295	225.295	3.005409e+000	3.753365e+000	59	23	7.147465e+000	0	0	0	0	0	0	3.00541	0	0	44.4243	23.3274	0.172349	2.37522	-2.84874	3.35679	0
DATA	16	1	16	0	0	A_54_P3729	mmu-miR-30e	719.871	224.484	3.928473e+003	3.928651e+002	4166	23	7.209785e+000	0	0	0	1	0	0	3928.47	1	1	43.7019	22.9887	3999.79	400.589	4677.69	406.402	1
DATA	18	1	18	0	0	A_54_P2833	mmu-miR-369-3p	770.521	224.366	2.595613e+000	3.750307e+000	57	22	7.112076e+000	0	0	0	1	0	0	2.59561	0	0	47.8731	22.8063	-3.31318	4.74326	-3.31318	4.74326	0
DATA	19	1	19	0	0	A_54_P00004435	mmu-miR-1186	796.217	225.145	7.802993e-001	3.742127e+000	56	23	7.059635e+000	0	0	0	1	0	0	0.780299	0	0	46.1809	22.7709	-2.44576	2.37163	-6.67876	3.35399	0
DATA	20	1	20	0	0	A_54_P2057	mmu-miR-699	821.619	224.905	3.852452e+000	3.761096e+000	57	22	6.421526e+000	0	0	0	0	0	0	3.85245	1	0	44.7812	22.3574	-0.0202752	1.18834	1.24583	2.37775	0
