Illumina Inc. BeadStudio version 3.3.7
Normalization = none
Array Content = MouseRef-8_V1_1_R2_11234312_A.bgx.xml
Error Model = none
DateTime = 10/22/2008 3:37 PM
Local Settings = en-US

TargetID	ProbeID	MIN_Signal-1745080067_B	AVG_Signal-1745080067_B	MAX_Signal-1745080067_B	NARRAYS-1745080067_B	ARRAY_STDEV-1745080067_B	BEAD_STDEV-1745080067_B	Avg_NBEADS-1745080067_B	Detection-1745080067_B	MIN_Signal-1745080067_A	AVG_Signal-1745080067_A	MAX_Signal-1745080067_A	NARRAYS-1745080067_A	ARRAY_STDEV-1745080067_A	BEAD_STDEV-1745080067_A	Avg_NBEADS-1745080067_A	Detection-1745080067_A	MIN_Signal-1745080067_D	AVG_Signal-1745080067_D	MAX_Signal-1745080067_D	NARRAYS-1745080067_D	ARRAY_STDEV-1745080067_D	BEAD_STDEV-1745080067_D	Avg_NBEADS-1745080067_D	Detection-1745080067_D	MIN_Signal-1745080067_E	AVG_Signal-1745080067_E	MAX_Signal-1745080067_E	NARRAYS-1745080067_E	ARRAY_STDEV-1745080067_E	BEAD_STDEV-1745080067_E	Avg_NBEADS-1745080067_E	Detection-1745080067_E	MIN_Signal-1745080067_C	AVG_Signal-1745080067_C	MAX_Signal-1745080067_C	NARRAYS-1745080067_C	ARRAY_STDEV-1745080067_C	BEAD_STDEV-1745080067_C	Avg_NBEADS-1745080067_C	Detection-1745080067_C	MIN_Signal-1745080067_F	AVG_Signal-1745080067_F	MAX_Signal-1745080067_F	NARRAYS-1745080067_F	ARRAY_STDEV-1745080067_F	BEAD_STDEV-1745080067_F	Avg_NBEADS-1745080067_F	Detection-1745080067_F	MIN_Signal-1745080067_G	AVG_Signal-1745080067_G	MAX_Signal-1745080067_G	NARRAYS-1745080067_G	ARRAY_STDEV-1745080067_G	BEAD_STDEV-1745080067_G	Avg_NBEADS-1745080067_G	Detection-1745080067_G	MIN_Signal-1745080067_H	AVG_Signal-1745080067_H	MAX_Signal-1745080067_H	NARRAYS-1745080067_H	ARRAY_STDEV-1745080067_H	BEAD_STDEV-1745080067_H	Avg_NBEADS-1745080067_H	Detection-1745080067_H	MIN_Signal-1745080070_A	AVG_Signal-1745080070_A	MAX_Signal-1745080070_A	NARRAYS-1745080070_A	ARRAY_STDEV-1745080070_A	BEAD_STDEV-1745080070_A	Avg_NBEADS-1745080070_A	Detection-1745080070_A	MIN_Signal-1745080070_B	AVG_Signal-1745080070_B	MAX_Signal-1745080070_B	NARRAYS-1745080070_B	ARRAY_STDEV-1745080070_B	BEAD_STDEV-1745080070_B	Avg_NBEADS-1745080070_B	Detection-1745080070_B	MIN_Signal-1745080070_C	AVG_Signal-1745080070_C	MAX_Signal-1745080070_C	NARRAYS-1745080070_C	ARRAY_STDEV-1745080070_C	BEAD_STDEV-1745080070_C	Avg_NBEADS-1745080070_C	Detection-1745080070_C	MIN_Signal-1745080070_D	AVG_Signal-1745080070_D	MAX_Signal-1745080070_D	NARRAYS-1745080070_D	ARRAY_STDEV-1745080070_D	BEAD_STDEV-1745080070_D	Avg_NBEADS-1745080070_D	Detection-1745080070_D	MIN_Signal-1745080070_E	AVG_Signal-1745080070_E	MAX_Signal-1745080070_E	NARRAYS-1745080070_E	ARRAY_STDEV-1745080070_E	BEAD_STDEV-1745080070_E	Avg_NBEADS-1745080070_E	Detection-1745080070_E	MIN_Signal-1745080070_F	AVG_Signal-1745080070_F	MAX_Signal-1745080070_F	NARRAYS-1745080070_F	ARRAY_STDEV-1745080070_F	BEAD_STDEV-1745080070_F	Avg_NBEADS-1745080070_F	Detection-1745080070_F	MIN_Signal-1745080070_G	AVG_Signal-1745080070_G	MAX_Signal-1745080070_G	NARRAYS-1745080070_G	ARRAY_STDEV-1745080070_G	BEAD_STDEV-1745080070_G	Avg_NBEADS-1745080070_G	Detection-1745080070_G	MIN_Signal-1745080070_H	AVG_Signal-1745080070_H	MAX_Signal-1745080070_H	NARRAYS-1745080070_H	ARRAY_STDEV-1745080070_H	BEAD_STDEV-1745080070_H	Avg_NBEADS-1745080070_H	Detection-1745080070_H	
0610005I04	580022	164.9	164.9	164.9	1	NaN	61.030	33	0.51703	164.9	164.9	164.9	1	NaN	57.871	29	0.73723	164.3	164.3	164.3	1	NaN	63.532	32	0.44404	160.7	160.7	160.7	1	NaN	58.681	31	0.49027	145.4	145.4	145.4	1	NaN	43.663	31	0.37956	171.3	171.3	171.3	1	NaN	53.904	32	0.31265	174.9	174.9	174.9	1	NaN	51.568	28	0.68856	178.7	178.7	178.7	1	NaN	76.765	40	0.71898	159.0	159.0	159.0	1	NaN	70.279	32	0.13504	175.8	175.8	175.8	1	NaN	87.779	38	0.68978	192.6	192.6	192.6	1	NaN	86.044	33	0.72384	185.3	185.3	185.3	1	NaN	87.770	30	0.81022	176.1	176.1	176.1	1	NaN	75.416	30	0.53285	164.3	164.3	164.3	1	NaN	70.182	35	0.49513	153.9	153.9	153.9	1	NaN	64.437	20	0.37226	154.0	154.0	154.0	1	NaN	90.374	30	0.48783	
0610006I08RIK	2940601	818.6	818.6	818.6	1	NaN	173.989	37	1.00000	581.1	581.1	581.1	1	NaN	135.653	33	0.99878	884.6	884.6	884.6	1	NaN	152.069	42	1.00000	731.5	731.5	731.5	1	NaN	147.504	54	0.99878	390.5	390.5	390.5	1	NaN	96.468	50	0.99878	1426.5	1426.5	1426.5	1	NaN	290.302	31	1.00000	891.3	891.3	891.3	1	NaN	252.002	35	1.00000	1067.3	1067.3	1067.3	1	NaN	231.634	26	1.00000	996.3	996.3	996.3	1	NaN	251.884	32	1.00000	889.1	889.1	889.1	1	NaN	314.223	36	1.00000	961.4	961.4	961.4	1	NaN	201.899	45	1.00000	878.0	878.0	878.0	1	NaN	228.926	37	1.00000	958.7	958.7	958.7	1	NaN	201.701	30	1.00000	895.5	895.5	895.5	1	NaN	240.451	44	1.00000	997.3	997.3	997.3	1	NaN	253.624	44	1.00000	864.5	864.5	864.5	1	NaN	213.957	26	1.00000	
0610007P14RIK	1240685	2794.6	2794.6	2794.6	1	NaN	626.419	40	1.00000	2294.4	2294.4	2294.4	1	NaN	506.941	35	1.00000	2356.1	2356.1	2356.1	1	NaN	360.275	41	1.00000	2448.7	2448.7	2448.7	1	NaN	607.321	41	1.00000	1380.7	1380.7	1380.7	1	NaN	262.511	42	1.00000	4075.3	4075.3	4075.3	1	NaN	870.102	34	1.00000	3033.0	3033.0	3033.0	1	NaN	891.528	40	1.00000	3080.7	3080.7	3080.7	1	NaN	705.391	37	1.00000	3056.7	3056.7	3056.7	1	NaN	725.068	40	1.00000	2620.2	2620.2	2620.2	1	NaN	633.308	37	1.00000	3133.2	3133.2	3133.2	1	NaN	814.682	31	1.00000	2730.9	2730.9	2730.9	1	NaN	629.620	37	1.00000	3288.9	3288.9	3288.9	1	NaN	769.009	28	1.00000	2967.8	2967.8	2967.8	1	NaN	700.572	35	1.00000	3334.0	3334.0	3334.0	1	NaN	872.194	42	1.00000	2890.7	2890.7	2890.7	1	NaN	753.746	47	1.00000	
0610007P14RIK	6450273	1141.4	1141.4	1141.4	1	NaN	310.905	34	1.00000	575.0	575.0	575.0	1	NaN	170.481	44	0.99878	1083.5	1083.5	1083.5	1	NaN	253.676	45	1.00000	1354.4	1354.4	1354.4	1	NaN	311.452	40	1.00000	351.3	351.3	351.3	1	NaN	83.844	52	0.99878	2118.4	2118.4	2118.4	1	NaN	303.150	27	1.00000	1127.2	1127.2	1127.2	1	NaN	287.507	44	1.00000	1218.1	1218.1	1218.1	1	NaN	316.381	45	1.00000	1233.8	1233.8	1233.8	1	NaN	351.838	34	1.00000	1063.8	1063.8	1063.8	1	NaN	258.855	29	1.00000	1344.1	1344.1	1344.1	1	NaN	391.389	42	1.00000	1085.7	1085.7	1085.7	1	NaN	270.162	36	1.00000	1366.8	1366.8	1366.8	1	NaN	376.497	31	1.00000	1289.8	1289.8	1289.8	1	NaN	438.910	41	1.00000	1221.1	1221.1	1221.1	1	NaN	414.107	42	1.00000	1169.9	1169.9	1169.9	1	NaN	332.620	33	1.00000	
0610007P22RIK	6020750	1825.1	1825.1	1825.1	1	NaN	527.300	23	1.00000	1762.6	1762.6	1762.6	1	NaN	345.571	49	1.00000	2421.2	2421.2	2421.2	1	NaN	438.903	37	1.00000	1896.0	1896.0	1896.0	1	NaN	392.627	54	1.00000	937.4	937.4	937.4	1	NaN	197.651	37	1.00000	2622.7	2622.7	2622.7	1	NaN	641.661	49	1.00000	2210.1	2210.1	2210.1	1	NaN	733.579	38	1.00000	1938.1	1938.1	1938.1	1	NaN	437.078	39	1.00000	2179.5	2179.5	2179.5	1	NaN	519.220	51	1.00000	2082.4	2082.4	2082.4	1	NaN	687.186	37	1.00000	2227.0	2227.0	2227.0	1	NaN	604.103	47	1.00000	1802.4	1802.4	1802.4	1	NaN	441.335	44	1.00000	2101.8	2101.8	2101.8	1	NaN	659.051	47	1.00000	2071.1	2071.1	2071.1	1	NaN	535.562	37	1.00000	1981.0	1981.0	1981.0	1	NaN	497.867	34	1.00000	2061.6	2061.6	2061.6	1	NaN	512.833	30	1.00000	
0610008C08RIK	1500619	155.7	155.7	155.7	1	NaN	62.223	31	0.36618	159.2	159.2	159.2	1	NaN	70.891	37	0.63504	177.2	177.2	177.2	1	NaN	66.745	44	0.64599	171.5	171.5	171.5	1	NaN	61.035	50	0.68735	165.1	165.1	165.1	1	NaN	57.524	38	0.76886	211.9	211.9	211.9	1	NaN	81.933	33	0.81509	163.2	163.2	163.2	1	NaN	65.805	42	0.53163	192.8	192.8	192.8	1	NaN	80.351	36	0.85158	204.6	204.6	204.6	1	NaN	87.925	56	0.76034	188.6	188.6	188.6	1	NaN	89.421	33	0.82360	176.3	176.3	176.3	1	NaN	64.840	36	0.48662	159.9	159.9	159.9	1	NaN	73.235	41	0.46594	177.8	177.8	177.8	1	NaN	70.838	50	0.55353	164.8	164.8	164.8	1	NaN	58.190	41	0.50243	201.0	201.0	201.0	1	NaN	102.210	36	0.90024	176.5	176.5	176.5	1	NaN	89.317	33	0.78589	
0610008F07RIK	5390524	153.8	153.8	153.8	1	NaN	57.034	35	0.32603	151.8	151.8	151.8	1	NaN	71.084	33	0.51703	148.1	148.1	148.1	1	NaN	48.545	33	0.17883	164.6	164.6	164.6	1	NaN	81.655	27	0.57543	156.0	156.0	156.0	1	NaN	64.266	36	0.61192	211.4	211.4	211.4	1	NaN	105.544	29	0.81265	164.3	164.3	164.3	1	NaN	68.046	39	0.54136	171.8	171.8	171.8	1	NaN	59.248	24	0.61557	154.1	154.1	154.1	1	NaN	62.007	30	0.09124	165.4	165.4	165.4	1	NaN	89.941	31	0.54988	158.6	158.6	158.6	1	NaN	64.749	36	0.17883	143.9	143.9	143.9	1	NaN	53.178	30	0.21046	185.4	185.4	185.4	1	NaN	91.867	34	0.66788	149.3	149.3	149.3	1	NaN	71.630	38	0.21533	188.7	188.7	188.7	1	NaN	117.702	31	0.82725	114.5	114.5	114.5	1	NaN	37.911	30	0.01825	
0610009B14RIK	7040520	254.6	254.6	254.6	1	NaN	101.683	33	0.98905	222.8	222.8	222.8	1	NaN	103.104	40	0.98540	286.1	286.1	286.1	1	NaN	82.550	35	0.98905	218.7	218.7	218.7	1	NaN	71.249	34	0.96837	153.3	153.3	153.3	1	NaN	42.351	33	0.55718	257.7	257.7	257.7	1	NaN	64.417	27	0.96350	231.4	231.4	231.4	1	NaN	94.190	31	0.97445	280.8	280.8	280.8	1	NaN	89.378	32	0.99027	276.6	276.6	276.6	1	NaN	77.081	45	0.98054	263.1	263.1	263.1	1	NaN	111.285	32	0.98905	291.0	291.0	291.0	1	NaN	102.853	57	0.98662	246.2	246.2	246.2	1	NaN	107.650	31	0.98054	276.1	276.1	276.1	1	NaN	94.823	47	0.98783	267.8	267.8	267.8	1	NaN	81.589	44	0.98783	260.4	260.4	260.4	1	NaN	90.974	48	0.98297	230.2	230.2	230.2	1	NaN	99.320	43	0.97567	
0610009B22RIK	620048	949.4	949.4	949.4	1	NaN	245.977	54	1.00000	865.7	865.7	865.7	1	NaN	310.198	45	1.00000	998.6	998.6	998.6	1	NaN	207.200	62	1.00000	955.2	955.2	955.2	1	NaN	264.551	65	1.00000	808.4	808.4	808.4	1	NaN	176.915	42	1.00000	1546.0	1546.0	1546.0	1	NaN	285.639	54	1.00000	1158.9	1158.9	1158.9	1	NaN	308.690	68	1.00000	1406.4	1406.4	1406.4	1	NaN	259.797	50	1.00000	1467.9	1467.9	1467.9	1	NaN	339.004	43	1.00000	1298.1	1298.1	1298.1	1	NaN	393.166	44	1.00000	1364.8	1364.8	1364.8	1	NaN	346.733	59	1.00000	1281.7	1281.7	1281.7	1	NaN	283.344	47	1.00000	1426.8	1426.8	1426.8	1	NaN	347.560	42	1.00000	1418.1	1418.1	1418.1	1	NaN	323.818	40	1.00000	1327.1	1327.1	1327.1	1	NaN	362.963	46	1.00000	1351.7	1351.7	1351.7	1	NaN	304.451	61	1.00000	
0610009D07RIK	2760193	122.0	122.0	122.0	1	NaN	55.155	32	0.01338	129.1	129.1	129.1	1	NaN	47.028	23	0.11314	165.9	165.9	165.9	1	NaN	103.169	23	0.48054	118.5	118.5	118.5	1	NaN	59.086	35	0.01946	135.9	135.9	135.9	1	NaN	50.269	29	0.20316	148.6	148.6	148.6	1	NaN	56.238	28	0.06083	125.6	125.6	125.6	1	NaN	48.711	20	0.05109	155.2	155.2	155.2	1	NaN	55.344	30	0.31630	139.2	139.2	139.2	1	NaN	53.872	44	0.01582	133.3	133.3	133.3	1	NaN	73.708	32	0.09246	130.1	130.1	130.1	1	NaN	37.377	29	0.01460	145.2	145.2	145.2	1	NaN	60.234	28	0.22993	151.5	151.5	151.5	1	NaN	69.809	33	0.13504	120.8	120.8	120.8	1	NaN	45.216	30	0.01095	124.0	124.0	124.0	1	NaN	63.658	30	0.03771	126.3	126.3	126.3	1	NaN	65.179	31	0.07664	
