X_Block	Y_Block	X	Y	Feature_ID	Reporter_ID	Nucleic_acid_type	Reporter_chr_coords	Composite	Composite_chr_coords
1	1	1	1	1	miRNABrightCorner30	miRNA	[36.3:NOMATCH:NOMATCH-NOMATCH:NOMATCH]	NOMATCH	[36.3:NOMATCH:NOMATCH-NOMATCH:NOMATCH]
1	1	1	2	2	DarkCorner	miRNA	[36.3:NOMATCH:NOMATCH-NOMATCH:NOMATCH]	NOMATCH	[36.3:NOMATCH:NOMATCH-NOMATCH:NOMATCH]
1	1	1	3	3	A_25_P00012196	miRNA	[36.3:17:43469539-43469554:-]	hsa-miR-152|MI0000462	[36.3:17:43469526-43469612:-]
1	1	1	4	4	A_25_P00011031	miRNA	[36.3:15:40279120-40279140:-]	hsa-miR-627|MI0003641	[36.3:15:40279060-40279156:-]
1	1	1	5	5	A_25_P00013142	miRNA	[36.3:13:49521267-49521284:-]	hsa-miR-15a|MI0000069	[36.3:13:49521256-49521338:-]
1	1	1	6	6	A_25_P00010562	miRNA	[36.3:19:58870834-58870850:+]	hsa-miR-520e|MI0003143	[36.3:19:58870777-58870863:+]
1	1	1	7	7	A_25_P00011021	miRNA	[36.3:17:27701305-27701319:+]	hsa-miR-632|MI0003647	[36.3:17:27701241-27701334:+]
1	1	1	8	8	A_25_P00010039	miRNA	[36.3:X:122523694-122523712:-]	hsa-miR-220a|MI0000297	[36.3:X:122523627-122523736:-]
1	1	1	9	9	A_25_P00011717	miRNA	[ebv:ebv|NC_007605.1:146483-146496:+]	ebv-miR-BART7|MI0003729	[ebv:ebv|NC_007605.1:146425-146510:+]
1	1	1	10	10	A_25_P00012361	miRNA	[36.3:14:100410609-100410625:+]	hsa-miR-337|MI0000806	[36.3:14:100410583-100410675:+]
1	1	1	11	11	A_25_P00013040	miRNA	[36.3:1:164390634-164390647:-]	hsa-miR-921|MI0005713	[36.3:1:164390604-164390659:-]
1	1	1	12	12	A_25_P00013605	miRNA	[36.3:X:138834021-138834037:-]	hsa-miR-505|MI0003190	[36.3:X:138833973-138834056:-]
1	1	1	14	14	A_25_P00012225	miRNA	[36.3:11:43559580-43559597:+]	hsa-miR-129-2|MI0000473	[36.3:11:43559520-43559609:+]
1	1	1	15	15	A_25_P00011875	miRNA	[hcmv:hcmv|NC_001347.5:27658-27669:+]	hcmv-miR-UL22A|MI0001678	[hcmv:hcmv|NC_001347.5:27644-27711:+]
1	1	1	16	16	A_25_P00010829	miRNA	[36.3:7:92951195-92951212:-]	hsa-miR-489|MI0003124	[36.3:7:92951184-92951267:-]
1	1	1	17	17	A_25_P00011222	miRNA	[36.3:1:100519405-100519420:+]	hsa-miR-553|MI0003558	[36.3:1:100519385-100519452:+]
1	1	1	18	18	A_25_P00010980	miRNA	"[36.3:11:121475727-121475742:-,36.3:21:16884450-16884465:+]"	"hsa-miR-125b-1|MI0000446,hsa-miR-125b-2|MI0000470"	"[36.3:11:121475675-121475762:-,36.3:21:16884428-16884516:+]"
1	1	1	19	19	A_25_P00012279	miRNA	[36.3:9:130194732-130194747:-]	hsa-miR-219-2|MI0000740	[36.3:9:130194718-130194814:-]
1	1	1	20	20	A_25_P00012859	miRNA	[36.3:X:133503096-133503115:-]	hsa-miR-542|MI0003686	[36.3:X:133503037-133503133:-]
1	1	1	21	21	A_25_P00011411	miRNA	[36.3:X:118664754-118664767:-]	hsa-miR-766|MI0003836	[36.3:X:118664729-118664839:-]
1	1	1	22	22	A_25_P00010093	miRNA	[36.3:12:93752338-93752356:+]	hsa-miR-492|MI0003131	[36.3:12:93752305-93752420:+]
1	1	1	23	23	A_25_P00010531	miRNA	[36.3:14:100420591-100420608:+]	hsa-miR-432|MI0003133	[36.3:14:100420573-100420666:+]
1	1	1	24	24	A_25_P00012864	miRNA	"[36.3:7:150566518-150566527:+,36.3:19:6446964-6446973:+]"	"hsa-miR-671|MI0003760,hsa-miR-220b|MI0005529"	"[36.3:7:150566440-150566557:+,36.3:19:6446959-6447045:+]"
1	1	1	25	25	A_25_P00015000	miRNA	[36.3:6:30660161-30660173:+]	hsa-miR-877|MI0005561	[36.3:6:30660088-30660173:+]
1	1	1	26	26	A_25_P00010367	miRNA	[36.3:15:78921389-78921405:-]	hsa-miR-549|MI0003679	[36.3:15:78921374-78921469:-]
1	1	1	27	27	A_25_P00011441	miRNA	[36.3:1:28847750-28847763:+]	hsa-miR-801_DEAD|MI0005202	[36.3:1:28847698-28847793:+]
1	1	1	28	28	A_25_P00014907	miRNA	[36.3:3:185441895-185441905:+]	hsa-miR-1224|MI0003764	[36.3:3:185441887-185441971:+]
1	1	1	29	29	A_25_P00011219	miRNA	[36.3:1:100519404-100519420:+]	hsa-miR-553|MI0003558	[36.3:1:100519385-100519452:+]
1	1	1	30	30	A_25_P00014916	miRNA	[36.3:X:73355147-73355165:-]	hsa-miR-374b|MI0005566	[36.3:X:73355107-73355178:-]
1	1	1	31	31	A_25_P00013300	miRNA	[36.3:17:44012225-44012239:-]	hsa-miR-10a|MI0000266	[36.3:17:44012199-44012308:-]
1	1	1	32	32	A_25_P00010365	miRNA	[36.3:15:78921389-78921408:-]	hsa-miR-549|MI0003679	[36.3:15:78921374-78921469:-]
1	1	1	35	35	A_25_P00012353	miRNA	[36.3:14:99645766-99645783:+]	hsa-miR-342|MI0000805	[36.3:14:99645745-99645843:+]
1	1	1	36	36	A_25_P00010756	miRNA	[36.3:11:110889390-110889408:+]	hsa-miR-34c|MI0000743	[36.3:11:110889374-110889450:+]
1	1	1	37	37	A_25_P00013749	miRNA	[ebv:ebv|NC_007605.1:147545-147560:+]	ebv-miR-BART11|MI0003733	[ebv:ebv|NC_007605.1:147524-147609:+]
1	1	1	38	38	A_25_P00013328	miRNA	[36.3:12:52671860-52671871:+]	hsa-miR-196a-2|MI0000279	[36.3:12:52671789-52671898:+]
1	1	1	39	39	A_25_P00010124	miRNA	[36.3:6:119431926-119431943:-]	hsa-miR-548b|MI0003596	[36.3:6:119431911-119432007:-]
1	1	1	40	40	A_25_P00012467	miRNA	[36.3:8:41637118-41637132:-]	hsa-miR-486|MI0002470	[36.3:8:41637116-41637183:-]
1	1	1	41	41	A_25_P00012013	miRNA	[36.3:7:130212047-130212066:-]	hsa-miR-29a|MI0000087	[36.3:7:130212046-130212109:-]
1	1	1	42	42	A_25_P00013200	miRNA	[36.3:2:218975662-218975680:+]	hsa-miR-26b|MI0000084	[36.3:2:218975613-218975689:+]
1	1	1	43	43	A_25_P00010945	miRNA	[36.3:3:50185778-50185796:+]	hsa-miR-566|MI0003572	[36.3:3:50185763-50185856:+]
1	1	1	44	44	A_25_P00012398	miRNA	[36.3:7:1029152-1029162:-]	hsa-miR-339|MI0000815	[36.3:7:1029095-1029188:-]
1	1	1	45	45	A_25_P00010507	miRNA	[36.3:7:136238534-136238550:+]	hsa-miR-490|MI0003125	[36.3:7:136238454-136238581:+]
1	1	1	46	46	A_25_P00011421	miRNA	[36.3:12:12808915-12808929:+]	hsa-miR-613|MI0003626	[36.3:12:12808850-12808944:+]
1	1	1	48	48	A_25_P00010648	miRNA	[36.3:3:169752398-169752416:+]	hsa-miR-551b|MI0003575	[36.3:3:169752336-169752431:+]
1	1	1	49	49	A_25_P00013127	miRNA	[36.3:9:95981002-95981019:+]	hsa-let-7d|MI0000065	[36.3:9:95980937-95981023:+]
1	1	1	50	50	A_25_P00011879	miRNA	[hcmv:hcmv|NC_001347.5:104030-104041:+]	hcmv-miR-UL70|MI0003688	[hcmv:hcmv|NC_001347.5:104018-104083:+]
1	1	1	51	51	A_25_P00013458	miRNA	[36.3:1:71305913-71305931:-]	hsa-miR-186|MI0000483	[36.3:1:71305902-71305987:-]
1	1	1	52	52	A_25_P00010584	miRNA	[36.3:14:100595863-100595880:+]	hsa-miR-154|MI0000480	[36.3:14:100595845-100595928:+]
1	1	1	54	54	A_25_P00011068	miRNA	[36.3:10:91342493-91342511:-]	hsa-miR-107|MI0000114	[36.3:10:91342484-91342564:-]
1	1	1	55	55	A_25_P00013237	miRNA	[36.3:7:129201773-129201787:-]	hsa-miR-96|MI0000098	[36.3:7:129201768-129201845:-]
1	1	1	57	57	A_25_P00010134	miRNA	[36.3:12:53017333-53017350:+]	hsa-miR-148b|MI0000811	[36.3:12:53017267-53017365:+]
1	1	1	59	59	A_25_P00012654	miRNA	[36.3:X:138833985-138834003:-]	hsa-miR-505|MI0003190	[36.3:X:138833973-138834056:-]
1	1	1	60	60	A_25_P00012035	miRNA	[36.3:7:129201815-129201836:-]	hsa-miR-96|MI0000098	[36.3:7:129201768-129201845:-]
1	1	1	61	61	A_25_P00013518	miRNA	[36.3:4:113788520-113788538:-]	hsa-miR-367|MI0000775	[36.3:4:113788479-113788546:-]
1	1	1	62	62	A_25_P00013440	miRNA	[36.3:3:44130780-44130791:+]	hsa-miR-138-1|MI0000476	[36.3:3:44130708-44130806:+]
1	1	1	63	63	A_25_P00010214	miRNA	[36.3:7:129923208-129923225:+]	hsa-miR-335|MI0000816	[36.3:7:129923188-129923281:+]
1	1	1	64	64	A_25_P00010063	miRNA	[36.3:14:100576590-100576608:+]	hsa-miR-376b|MI0002466	[36.3:14:100576526-100576625:+]
1	1	1	65	65	A_25_P00011757	miRNA	[kshv:kshv|NC_003409.1:117729-117743:-]	kshv-miR-K12-12|MI0004987	[kshv:kshv|NC_003409.1:117674-117771:-]
1	1	1	66	66	A_25_P00012278	miRNA	[36.3:9:130194732-130194746:-]	hsa-miR-219-2|MI0000740	[36.3:9:130194718-130194814:-]
1	1	1	67	67	A_25_P00010710	miRNA	"[36.3:19:58861799-58861816:+,36.3:19:58864283-58864300:+]"	"hsa-miR-512-1|MI0003140,hsa-miR-512-2|MI0003141"	"[36.3:19:58861745-58861828:+,36.3:19:58864223-58864320:+]"
1	1	1	69	69	A_25_P00012833	miRNA	[36.3:X:109185280-109185293:+]	hsa-miR-652|MI0003667	[36.3:X:109185213-109185310:+]
1	1	1	70	70	A_25_P00012375	miRNA	[36.3:8:141811904-141811919:-]	hsa-miR-151|MI0000809	[36.3:8:141811845-141811934:-]
1	1	1	71	71	A_25_P00013561	miRNA	[36.3:X:133508340-133508352:-]	hsa-miR-424|MI0001446	[36.3:X:133508310-133508407:-]
1	1	1	72	72	A_25_P00012013	miRNA	[36.3:7:130212047-130212066:-]	hsa-miR-29a|MI0000087	[36.3:7:130212046-130212109:-]
1	1	1	73	73	A_25_P00010676	miRNA	"[36.3:9:96888171-96888188:+,36.3:19:13808103-13808120:-]"	"hsa-miR-24-1|MI0000080,hsa-miR-24-2|MI0000081"	"[36.3:9:96888124-96888191:+,36.3:19:13808101-13808173:-]"
1	1	1	74	74	A_25_P00012764	miRNA	[36.3:7:5502030-5502045:-]	hsa-miR-589|MI0003599	[36.3:7:5501976-5502074:-]
1	1	1	75	75	A_25_P00011766	miRNA	[kshv:kshv|NC_003409.1:119945-119959:-]	kshv-miR-K12-8|MI0002478	[kshv:kshv|NC_003409.1:119943-120012:-]
1	1	1	77	77	A_25_P00014941	miRNA	[36.3:5:179157884-179157895:-]	hsa-miR-1229|MI0006319	[36.3:5:179157884-179157952:-]
1	1	1	78	78	A_25_P00012459	miRNA	[36.3:11:2111987-2112000:-]	hsa-miR-483|MI0002467	[36.3:11:2111940-2112015:-]
1	1	1	79	79	A_25_P00013754	miRNA	[ebv:ebv|NC_007605.1:147939-147957:+]	ebv-miR-BART12|MI0003734	[ebv:ebv|NC_007605.1:147888-147970:+]
1	1	1	80	80	DarkCorner	miRNA	[36.3:NOMATCH:NOMATCH-NOMATCH:NOMATCH]	NOMATCH	[36.3:NOMATCH:NOMATCH-NOMATCH:NOMATCH]
1	1	1	81	81	SCorner3	miRNA	[36.3:NOMATCH:NOMATCH-NOMATCH:NOMATCH]	NOMATCH	[36.3:NOMATCH:NOMATCH-NOMATCH:NOMATCH]
1	1	1	82	82	miRNABrightCorner30	miRNA	[36.3:NOMATCH:NOMATCH-NOMATCH:NOMATCH]	NOMATCH	[36.3:NOMATCH:NOMATCH-NOMATCH:NOMATCH]
1	1	2	1	83	SCorner3	miRNA	[36.3:NOMATCH:NOMATCH-NOMATCH:NOMATCH]	NOMATCH	[36.3:NOMATCH:NOMATCH-NOMATCH:NOMATCH]
